NOMBRE,TIPO,AÑO,MES,AUTOS,MOTOS,AUTOBUS DE 2 EJES,AUTOBUS DE 3 EJES,AUTOBUS DE 4 EJES,CAMIONES DE 2 EJES,CAMIONES DE 3 EJES,CAMIONES DE 4 EJES,CAMIONES DE 5 EJES,CAMIONES DE 6 EJES,CAMIONES DE 7 EJES,CAMIONES DE 8 EJES,CAMIONES DE 9 EJES,TRICICLOS,TOTAL,EJE EXTRA AUTOBUS,EJE EXTRA CAMION,PEATONES
Suchiate II,PÚENTE INTERNACIONAL,2024,ABRIL,1044,0,100,4,0,915,986,69,11250,1935,29,3,85,0,16420,44,4,0
Chapalilla - Compostela ,CAMINO,2024,MAYO,64648,2024,3878,698,0,3664,2956,308,2856,1082,16,0,152,0,82282,449,1,0
Cuauhtemoc-Osiris ,CAMINO,2024,MAYO,125693,1751,5361,6964,0,15114,12179,4891,64746,13243,3005,175,25799,0,278921,2487,5,0
Culiacán,PUENTE NACIONAL,2024,MAYO,240272,3042,6575,624,18,7677,4279,514,7751,1389,0,2,573,0,272716,2254,1,0
Sinaloa,PUENTE NACIONAL,2024,MAYO,243026,2049,11059,5473,35,15601,14317,3596,69751,6740,1134,69,18762,0,391612,3629,22,0
Pánuco,PUENTE NACIONAL,2024,MAYO,138889,10190,7863,74,38,5491,2641,181,2497,2276,5,0,1456,0,171601,1289,7,0
Alvarado,PUENTE NACIONAL,2024,MAYO,130305,12793,8081,449,2,5111,4513,259,2946,1349,12,9,584,0,166413,898,24,0
Papaloapan,PUENTE NACIONAL,2024,MAYO,51634,12752,3397,149,0,3978,4309,141,2163,305,6,5,678,0,79517,2325,255,0
Caracol,PUENTE NACIONAL,2024,MAYO,145546,24008,12087,221,0,7350,6271,372,5457,1582,141,45,10853,0,213933,1802,1393,0
Nautla,PUENTE NACIONAL,2024,MAYO,73964,5857,3123,162,0,4781,2771,377,5722,1098,21,4,1059,0,98939,1128,1,0
Grijalva,PUENTE NACIONAL,2024,MAYO,406901,22728,11650,2311,21,17702,11219,1662,23321,10047,649,117,16780,0,525108,3588,233,0
Usumacinta,PUENTE NACIONAL,2024,MAYO,82671,12033,4130,681,8,5647,6654,826,17166,5338,645,91,14874,0,150764,1720,256,0
Cadereyta,PUENTE NACIONAL,2024,MAYO,148594,4782,475,29,0,12324,6182,810,10168,2899,244,292,4190,0,190989,837,19,0
La Piedad,PUENTE NACIONAL,2024,MAYO,73445,2165,4079,867,0,7301,8011,631,10924,1831,26,5,361,0,109646,550,0,0
Tecolutla,PUENTE NACIONAL,2024,MAYO,97941,16985,4058,430,1,5149,3502,442,5730,1177,15,2,1030,0,136462,631,0,0
San Juan,PUENTE NACIONAL,2024,MAYO,37494,118,636,250,0,3073,1855,269,4616,783,52,82,9279,0,58507,982,1279,0
Tampico,PUENTE NACIONAL,2024,MAYO,214617,3545,8010,2415,0,6337,3989,247,2570,389,23,11,1843,0,243996,1510,8,0
Tlacotalpan,PUENTE NACIONAL,2024,MAYO,41868,5394,1629,51,0,1278,1394,37,503,77,0,0,29,0,52260,452,0,0
Dovalí Jaime,PUENTE NACIONAL,2024,MAYO,187454,6227,6564,2255,22,23449,27031,5961,94974,16562,1203,1512,45352,0,418566,1840,224,0
