NOMBRE,TIPO,AÑO,MES,AUTOS,MOTOS,AUTOBUS DE 2 EJES,AUTOBUS DE 3 EJES,AUTOBUS DE 4 EJES,CAMIONES DE 2 EJES,CAMIONES DE 3 EJES,CAMIONES DE 4 EJES,CAMIONES DE 5 EJES,CAMIONES DE 6 EJES,CAMIONES DE 7 EJES,CAMIONES DE 8 EJES,CAMIONES DE 9 EJES,TRICICLOS,TOTAL,EJE EXTRA AUTOBUS,EJE EXTRA CAMION,PEATONES
La Piedad,PUENTE NACIONAL,2021,SEPTIEMBRE,39454,1260,1457,443,0,4260,3684,311,4449,799,10,7,129,0,56263,275,0,0
Tecolutla,PUENTE NACIONAL,2021,SEPTIEMBRE,96990,11604,4164,1202,6,6324,4367,462,10429,2462,64,12,5079,0,143165,761,10,0
San Juan,PUENTE NACIONAL,2021,SEPTIEMBRE,53630,120,390,137,0,3236,1775,281,5224,1255,85,41,8300,0,74474,1429,703,0
Tampico,PUENTE NACIONAL,2021,SEPTIEMBRE,217776,2274,6746,1706,0,6839,2937,218,971,267,20,37,701,0,240492,935,0,0
Tlacotalpan,PUENTE NACIONAL,2021,SEPTIEMBRE,30945,4661,895,2,0,1107,805,22,199,34,0,0,25,0,38695,501,0,0
Dovalí Jaime,PUENTE NACIONAL,2021,SEPTIEMBRE,173493,4645,5242,2950,1,20074,23915,3344,75851,13291,1062,368,37726,0,361962,1528,72,0
Dovalí Jaime Bis,PUENTE NACIONAL,2021,SEPTIEMBRE,13420,1112,43,0,0,470,100,2,15,8,0,0,0,0,15170,4,0,0
Refineria Lazaro Cárdenas,PUENTE NACIONAL,2021,SEPTIEMBRE,2162,52,16,6,0,198,126,19,88,53,1,1,37,0,2759,16,0,0
Matamoros,PÚENTE INTERNACIONAL,2021,SEPTIEMBRE,94570,254,1,0,0,58,2,0,0,0,0,0,0,0,94885,118,0,73852
Camargo,PÚENTE INTERNACIONAL,2021,SEPTIEMBRE,22428,32,0,0,0,78,133,3,1617,21,17,0,2064,0,26393,278,0,2510
Miguel Alemán,PÚENTE INTERNACIONAL,2021,SEPTIEMBRE,41702,6,6,29,0,88,105,49,2221,13,1,0,1,0,44221,207,0,17984
Reynosa,PÚENTE INTERNACIONAL,2021,SEPTIEMBRE,96923,102,305,469,0,85,13,3,2,0,0,0,2,0,97904,360,2,99405
   Línea Express,PÚENTE INTERNACIONAL,2021,SEPTIEMBRE,53053,0,0,0,0,0,0,0,0,0,0,0,0,0,53053,0,0,0
Las Flores,PÚENTE INTERNACIONAL,2021,SEPTIEMBRE,44068,24,0,0,0,97,1148,79,822,510,74,29,2192,0,49043,112,178,76679
Ojinaga,PÚENTE INTERNACIONAL,2021,SEPTIEMBRE,42292,55,12,63,0,722,139,165,481,29,30,53,0,0,44041,995,0,5257
Rodolfo Robles,PÚENTE INTERNACIONAL,2021,SEPTIEMBRE,5118,24805,110,203,0,6,0,0,0,0,0,0,0,7980,38222,1,0,28286
Piedras Negras,PÚENTE INTERNACIONAL,2021,SEPTIEMBRE,64297,56,0,0,0,194,0,10,0,0,0,0,0,0,64557,149,0,21332
Acuña,PÚENTE INTERNACIONAL,2021,SEPTIEMBRE,78283,255,0,0,0,1132,578,99,2858,33,25,0,0,0,83263,600,0,5181
Laredo,PÚENTE INTERNACIONAL,2021,SEPTIEMBRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125621
   Línea Express,PÚENTE INTERNACIONAL,2021,SEPTIEMBRE,76288,0,0,0,0,0,0,0,0,0,0,0,0,0,76288,0,0,0
Juárez-Lincoln,PÚENTE INTERNACIONAL,2021,SEPTIEMBRE,168993,1128,19,1776,0,207,17,50,1,0,0,0,1,0,172192,1004,0,0
Suchiate II,PÚENTE INTERNACIONAL,2021,SEPTIEMBRE,643,0,100,1,0,746,761,61,9203,1464,15,0,114,0,13108,16,242,0
Chapalilla - Compostela ,CAMINO,2021,OCTUBRE,146486,2764,9882,3193,1,6536,5432,506,6394,2324,35,1,617,0,184171,773,0,0
Cuauhtemoc-Osiris ,CAMINO,2021,OCTUBRE,137214,862,4027,5796,1,13673,11735,3164,57045,11187,1284,132,24919,0,271039,2217,2,0
Culiacán,PUENTE NACIONAL,2021,OCTUBRE,246589,3799,6168,619,18,8255,4016,537,6270,1854,6,1,610,0,278742,2809,0,0
Sinaloa,PUENTE NACIONAL,2021,OCTUBRE,244932,2713,9879,3885,15,15723,13178,3044,61316,7806,1003,77,16968,0,380539,3492,11,0
Pánuco,PUENTE NACIONAL,2021,OCTUBRE,131276,8240,8157,143,23,5201,2372,281,2444,1320,40,7,1011,0,160515,985,27,0
Alvarado,PUENTE NACIONAL,2021,OCTUBRE,110200,8997,6241,340,5,5202,3419,193,2567,1069,13,1,393,0,138640,883,0,0
Papaloapan,PUENTE NACIONAL,2021,OCTUBRE,41527,7936,2343,94,3,4333,2999,124,2099,285,3,4,668,0,62418,421,1,0
Caracol,PUENTE NACIONAL,2021,OCTUBRE,124569,17380,8267,196,0,7342,4802,390,4282,667,49,98,10299,0,178341,545,2,0
Nautla,PUENTE NACIONAL,2021,OCTUBRE,113688,4041,3826,1382,6,7968,8597,854,14525,3582,240,33,8462,0,167204,1315,23,0
Grijalva,PUENTE NACIONAL,2021,OCTUBRE,335262,14655,9405,1704,16,14947,8921,1191,19244,6872,388,70,12493,0,425168,2421,111,0
Usumacinta,PUENTE NACIONAL,2021,OCTUBRE,78476,9188,2964,791,5,5156,6414,613,13531,2866,350,40,9817,0,130211,1037,116,0
Cadereyta,PUENTE NACIONAL,2021,OCTUBRE,122985,2518,210,31,0,5824,5508,1442,13256,5272,398,268,6914,0,164626,850,37,0
La Piedad,PUENTE NACIONAL,2021,OCTUBRE,48707,1520,1800,573,0,5134,4405,349,5828,1024,15,3,152,0,69510,312,0,0
Tecolutla,PUENTE NACIONAL,2021,OCTUBRE,106687,12380,4117,1226,3,6495,4859,529,11376,2488,77,14,5340,0,155591,753,4,0
San Juan,PUENTE NACIONAL,2021,OCTUBRE,57281,99,475,125,0,3105,1776,264,5331,1005,45,40,8746,0,78292,1500,749,0
Tampico,PUENTE NACIONAL,2021,OCTUBRE,236619,2768,6611,1827,4,7182,3260,263,1330,349,26,26,720,0,260985,1068,18,0
Tlacotalpan,PUENTE NACIONAL,2021,OCTUBRE,35295,4538,957,5,0,1173,633,24,174,18,1,0,33,0,42851,568,0,0
Dovalí Jaime,PUENTE NACIONAL,2021,OCTUBRE,183507,4720,5440,2935,6,20498,25537,3573,79857,13624,1137,411,40862,0,382107,2065,19,0
Dovalí Jaime Bis,PUENTE NACIONAL,2021,OCTUBRE,13518,1216,100,0,0,476,50,0,13,9,0,0,1,0,15383,11,0,0
Refineria Lazaro Cárdenas,PUENTE NACIONAL,2021,OCTUBRE,2442,141,19,8,0,237,170,16,106,68,1,3,42,0,3253,17,0,0
Matamoros,PÚENTE INTERNACIONAL,2021,OCTUBRE,93051,247,0,0,0,53,0,2,0,0,0,0,0,0,93353,116,0,78219
Camargo,PÚENTE INTERNACIONAL,2021,OCTUBRE,24220,33,0,0,0,85,127,1,1616,25,9,0,2249,0,28365,305,0,3009
Miguel Alemán,PÚENTE INTERNACIONAL,2021,OCTUBRE,45137,6,6,20,2,83,84,48,2399,11,0,0,0,0,47796,220,0,18608
Reynosa,PÚENTE INTERNACIONAL,2021,OCTUBRE,105563,149,348,467,4,79,6,5,0,0,0,0,1,0,106622,362,1,103970
   Línea Express,PÚENTE INTERNACIONAL,2021,OCTUBRE,55630,0,0,0,0,0,0,0,0,0,0,0,0,0,55630,0,0,0
Las Flores,PÚENTE INTERNACIONAL,2021,OCTUBRE,45400,47,0,0,0,98,842,71,1087,418,57,16,2030,0,50066,111,193,83196
Ojinaga,PÚENTE INTERNACIONAL,2021,OCTUBRE,44307,64,15,64,2,718,95,176,493,50,44,44,0,0,46072,930,0,4859
Rodolfo Robles,PÚENTE INTERNACIONAL,2021,OCTUBRE,5313,26852,71,214,0,8,1,0,0,0,0,0,0,8468,40927,8,0,28602
Piedras Negras,PÚENTE INTERNACIONAL,2021,OCTUBRE,71521,80,0,0,0,227,2,3,2,0,0,0,0,0,71835,195,0,21691
Acuña,PÚENTE INTERNACIONAL,2021,OCTUBRE,111959,371,0,0,0,1502,767,147,3860,35,34,0,0,0,118675,921,0,6330
Laredo,PÚENTE INTERNACIONAL,2021,OCTUBRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130794
   Línea Express,PÚENTE INTERNACIONAL,2021,OCTUBRE,93252,0,0,0,0,0,0,0,0,0,0,0,0,0,93252,0,0,0
Juárez-Lincoln,PÚENTE INTERNACIONAL,2021,OCTUBRE,181298,1125,29,1907,0,219,24,37,1,0,0,0,1,0,184641,1091,0,0
Suchiate II,PÚENTE INTERNACIONAL,2021,OCTUBRE,743,0,79,1,0,740,857,57,9151,1711,13,1,106,0,13459,8,91,0
Chapalilla - Compostela ,CAMINO,2021,NOVIEMBRE,150265,2449,9726,3091,0,6970,5508,607,7049,2421,45,2,923,0,189056,827,0,0
Cuauhtemoc-Osiris ,CAMINO,2021,NOVIEMBRE,141853,802,4554,6610,0,13540,11104,3043,54710,10630,1595,122,23898,0,272461,2492,0,0
Culiacán,PUENTE NACIONAL,2021,NOVIEMBRE,244270,3168,6190,653,13,8203,4177,571,6788,1697,4,2,529,0,276265,2596,0,0
Sinaloa,PUENTE NACIONAL,2021,NOVIEMBRE,248563,2431,11367,4216,30,16019,13050,3397,61022,8029,930,65,17727,0,386846,3925,1,0
Pánuco,PUENTE NACIONAL,2021,NOVIEMBRE,131786,6838,8184,118,10,4958,2784,252,2519,1398,39,22,1730,0,160638,875,128,0
Alvarado,PUENTE NACIONAL,2021,NOVIEMBRE,110743,8571,6576,403,8,4952,3866,160,2592,1042,20,0,299,0,139232,610,0,0
Papaloapan,PUENTE NACIONAL,2021,NOVIEMBRE,43518,8611,2477,112,12,4827,3615,108,2431,315,0,1,677,0,66704,1464,81,0
Caracol,PUENTE NACIONAL,2021,NOVIEMBRE,132843,17420,8947,215,0,7331,4692,235,4934,629,67,134,9689,0,187136,631,24,0
Nautla,PUENTE NACIONAL,2021,NOVIEMBRE,111671,3529,3970,1382,6,7760,7215,745,14269,3280,231,38,8100,0,162196,1374,6,0
Grijalva,PUENTE NACIONAL,2021,NOVIEMBRE,350553,15227,9974,1501,25,15453,9887,1243,20166,6969,461,60,12089,0,443608,2368,94,0
Usumacinta,PUENTE NACIONAL,2021,NOVIEMBRE,85870,9923,3240,821,6,5676,6656,692,14293,2911,433,39,9462,0,140022,1270,95,0
Cadereyta,PUENTE NACIONAL,2021,NOVIEMBRE,117808,2159,184,41,0,5944,5009,1691,13812,5878,383,357,5441,0,158707,745,53,0
La Piedad,PUENTE NACIONAL,2021,NOVIEMBRE,55926,1417,2706,906,0,5771,5284,371,6747,1228,20,4,259,0,80639,394,0,0
Tecolutla,PUENTE NACIONAL,2021,NOVIEMBRE,105078,11848,3990,1141,12,6404,5063,515,10894,2340,49,16,4875,0,152225,752,2,0
San Juan,PUENTE NACIONAL,2021,NOVIEMBRE,57186,176,444,114,0,3213,1742,231,5298,899,35,56,8113,0,77507,1379,694,0
Tampico,PUENTE NACIONAL,2021,NOVIEMBRE,230663,2684,6513,1833,0,6919,3570,327,1620,489,17,18,647,0,255300,1149,0,0
Tlacotalpan,PUENTE NACIONAL,2021,NOVIEMBRE,36612,4406,1054,13,0,1218,633,15,173,35,0,0,9,0,44168,444,0,0
Dovalí Jaime,PUENTE NACIONAL,2021,NOVIEMBRE,188847,5093,5723,3148,12,21753,25500,3640,80660,13443,1324,462,41152,0,390757,1694,77,0
Dovalí Jaime Bis,PUENTE NACIONAL,2021,NOVIEMBRE,13250,1287,96,0,0,413,92,3,32,15,0,0,1,0,15189,10,0,0
Refineria Lazaro Cárdenas,PUENTE NACIONAL,2021,NOVIEMBRE,2225,33,49,5,0,166,183,14,89,52,0,3,61,0,2880,19,0,0
Matamoros,PÚENTE INTERNACIONAL,2021,NOVIEMBRE,97134,205,0,0,0,57,2,3,0,0,0,0,0,0,97401,112,0,98322
Camargo,PÚENTE INTERNACIONAL,2021,NOVIEMBRE,26962,35,0,0,0,101,124,0,1669,20,13,0,2089,0,31013,302,0,3225
Miguel Alemán,PÚENTE INTERNACIONAL,2021,NOVIEMBRE,48478,15,6,33,2,109,81,46,2250,8,0,0,0,0,51028,272,0,19337
Reynosa,PÚENTE INTERNACIONAL,2021,NOVIEMBRE,124035,176,706,717,2,89,8,12,0,0,0,0,1,0,125746,385,1,140163
   Línea Express,PÚENTE INTERNACIONAL,2021,NOVIEMBRE,57685,0,0,0,0,0,0,0,0,0,0,0,0,0,57685,0,0,0
Las Flores,PÚENTE INTERNACIONAL,2021,NOVIEMBRE,42271,18,0,0,0,67,732,52,1189,289,32,15,1618,0,46283,118,202,89411
Ojinaga,PÚENTE INTERNACIONAL,2021,NOVIEMBRE,48336,65,15,64,4,820,117,197,626,98,24,29,0,0,50395,1050,0,7980
Rodolfo Robles,PÚENTE INTERNACIONAL,2021,NOVIEMBRE,6685,30774,84,165,0,7,1,0,0,0,0,0,0,8450,46166,2,0,28883
Piedras Negras,PÚENTE INTERNACIONAL,2021,NOVIEMBRE,91596,86,0,0,0,231,3,4,0,0,0,0,0,0,91920,188,0,33984
Acuña,PÚENTE INTERNACIONAL,2021,NOVIEMBRE,116649,380,0,1,0,1543,827,172,3702,36,29,0,0,0,123339,1016,0,8528
Laredo,PÚENTE INTERNACIONAL,2021,NOVIEMBRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192780
   Línea Express,PÚENTE INTERNACIONAL,2021,NOVIEMBRE,96592,0,0,0,0,0,0,0,0,0,0,0,0,0,96592,0,0,0
Juárez-Lincoln,PÚENTE INTERNACIONAL,2021,NOVIEMBRE,215093,1210,42,2259,0,233,24,77,3,0,1,0,1,0,218943,1458,0,0
Suchiate II,PÚENTE INTERNACIONAL,2021,NOVIEMBRE,874,0,117,1,0,979,743,87,9779,1644,24,1,129,0,14378,36,220,0
Chapalilla - Compostela ,CAMINO,2021,DICIEMBRE,175069,1990,10034,2748,0,7105,5976,614,7596,2595,83,4,1917,0,215731,870,0,0
Cuauhtemoc-Osiris ,CAMINO,2021,DICIEMBRE,168081,492,4948,7252,0,13776,10465,3032,53863,10863,1548,110,23875,0,298305,3234,0,0
Culiacán,PUENTE NACIONAL,2021,DICIEMBRE,278875,3111,6741,772,14,8959,4431,516,7031,1368,3,1,544,2440,314806,0,0,0
Sinaloa,PUENTE NACIONAL,2021,DICIEMBRE,328906,2003,14861,5283,36,16451,12831,3179,62632,6845,1020,66,19576,5379,479068,12,0,0
Pánuco,PUENTE NACIONAL,2021,DICIEMBRE,159936,7279,9196,490,31,5498,5534,279,2827,1620,30,27,2435,1174,196356,138,0,0
Alvarado,PUENTE NACIONAL,2021,DICIEMBRE,143422,9625,7615,604,27,5260,5485,261,2808,1094,21,4,375,754,177355,0,0,0
Papaloapan,PUENTE NACIONAL,2021,DICIEMBRE,55409,10422,2935,161,30,4544,4943,141,3458,641,7,2,696,6098,89487,381,0,0
Caracol,PUENTE NACIONAL,2021,DICIEMBRE,172123,22253,10989,331,2,8346,5474,369,6111,1004,46,64,10842,2613,240567,761,0,0
Nautla,PUENTE NACIONAL,2021,DICIEMBRE,147718,4117,5082,2078,15,7725,7550,798,14168,3412,164,42,7924,1699,202492,11,0,0
Grijalva,PUENTE NACIONAL,2021,DICIEMBRE,409561,16688,11762,1867,40,16208,9755,1341,20535,7706,418,57,12413,2815,511166,135,0,0
Usumacinta,PUENTE NACIONAL,2021,DICIEMBRE,105709,11033,4719,1397,6,5805,6285,708,14612,3290,423,44,9781,1329,165141,132,0,0
Cadereyta,PUENTE NACIONAL,2021,DICIEMBRE,130750,2421,232,36,0,8873,5100,2076,12794,5176,377,474,5253,648,174210,69,0,0
La Piedad,PUENTE NACIONAL,2021,DICIEMBRE,76420,1697,3216,1093,0,6876,6466,530,7712,1210,28,4,313,497,106062,0,0,0
Tecolutla,PUENTE NACIONAL,2021,DICIEMBRE,134265,13292,5154,1709,18,6280,5234,556,10658,2525,41,15,4558,873,185178,5,0,0
San Juan,PUENTE NACIONAL,2021,DICIEMBRE,62480,115,446,130,0,3343,1768,318,5051,1030,56,62,8036,1428,84263,773,0,0
Tampico,PUENTE NACIONAL,2021,DICIEMBRE,293398,2644,9176,2791,0,7459,3776,264,1567,512,15,14,755,1184,323555,0,0,0
Tlacotalpan,PUENTE NACIONAL,2021,DICIEMBRE,45507,4888,1115,33,0,1334,858,36,280,69,0,0,26,505,54651,0,0,0
Dovalí Jaime,PUENTE NACIONAL,2021,DICIEMBRE,263341,5370,8202,4194,17,23139,26820,3853,82672,13188,1356,502,42661,1838,477153,42,0,0
Dovalí Jaime Bis,PUENTE NACIONAL,2021,DICIEMBRE,14533,1436,86,0,0,438,278,0,47,18,0,0,2,10,16848,0,0,0
Refineria Lazaro Cárdenas,PUENTE NACIONAL,2021,DICIEMBRE,2408,39,45,5,0,196,173,22,85,43,6,1,56,18,3097,0,0,0
Matamoros,PÚENTE INTERNACIONAL,2021,DICIEMBRE,101423,156,0,0,0,47,1,3,0,0,0,0,1,0,101631,146,0,107085
Camargo,PÚENTE INTERNACIONAL,2021,DICIEMBRE,31400,31,76,0,0,110,118,3,1657,11,11,2,1965,0,35384,350,0,3962
Miguel Alemán,PÚENTE INTERNACIONAL,2021,DICIEMBRE,54440,29,3,29,0,110,90,40,2156,10,0,0,0,0,56907,339,0,20715
Reynosa,PÚENTE INTERNACIONAL,2021,DICIEMBRE,120631,218,808,1023,0,87,11,15,2,0,0,0,0,0,122795,472,0,158008
   Línea Express,PÚENTE INTERNACIONAL,2021,DICIEMBRE,65605,0,0,0,0,0,0,0,0,0,0,0,0,0,65605,0,0,0
Las Flores,PÚENTE INTERNACIONAL,2021,DICIEMBRE,44649,30,0,0,0,73,546,32,1004,382,32,12,1843,0,48603,99,207,108777
Ojinaga,PÚENTE INTERNACIONAL,2021,DICIEMBRE,48875,68,9,69,2,758,133,142,577,79,0,15,0,0,50727,1069,0,8974
Rodolfo Robles,PÚENTE INTERNACIONAL,2021,DICIEMBRE,8055,34418,51,103,0,15,0,0,0,0,0,0,0,9218,51860,4,0,31142
Piedras Negras,PÚENTE INTERNACIONAL,2021,DICIEMBRE,97348,73,1,0,0,194,2,2,0,0,0,0,0,0,97620,247,0,48823
Acuña,PÚENTE INTERNACIONAL,2021,DICIEMBRE,123091,364,0,0,0,1538,754,153,3322,35,38,0,0,0,129295,909,0,10145
Laredo,PÚENTE INTERNACIONAL,2021,DICIEMBRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228036
   Línea Express,PÚENTE INTERNACIONAL,2021,DICIEMBRE,105961,0,0,0,0,0,0,0,0,0,0,0,0,0,105961,0,0,0
Juárez-Lincoln,PÚENTE INTERNACIONAL,2021,DICIEMBRE,237281,1317,27,2957,0,318,19,68,2,0,1,0,1,0,241991,1670,0,0
Suchiate II,PÚENTE INTERNACIONAL,2021,DICIEMBRE,1351,0,99,2,0,1090,785,78,10011,1664,15,1,113,0,15209,46,276,0
Chapalilla - Compostela ,CAMINO,2022,ENERO,141383,2133,7233,1561,1,6222,5582,556,6812,2499,61,4,1320,0,175367,682,0,0
Cuauhtemoc-Osiris ,CAMINO,2022,ENERO,127846,555,3990,5534,0,12144,9340,3161,52309,10323,1957,153,23698,0,251010,2422,2,0
